id,hsk_level,word,pinyin,pos_zh,pos_en,pos_th,trans_en,trans_th,example_zh,example_th,example_en
17,1,茶,chá,名,n.,คำนาม,tea; tea plant,ชา,我喜欢喝绿茶。,ฉันชอบดื่มชาเขียว,I like drinking green tea.
18,1,唱,chàng,动,v.,กริยา,to sing; to call loudly,ร้องเพลง,她唱歌唱得很好。,เธอร้องเพลงได้ดีมาก,She sings very well.
19,1,超市,chāoshì,名,n.,คำนาม,supermarket,ซูเปอร์มาร์เก็ต,我去超市买东西。,ฉันไปซูเปอร์มาร์เก็ตซื้อของ,I go to the supermarket to buy things.
20,1,车,chē,名,n.,คำนาม,car; vehicle,รถ,他开车去公司。,เขาขับรถไปบริษัท,He drives to the company.
21,1,吃,chī,动,v.,กริยา,to eat,กิน,我们一起吃饭吧。,เรากินข้าวด้วยกันเถอะ,Let's eat together.
22,1,穿,chuān,动,v.,กริยา,to wear; to put on,สวมใส่,今天冷，多穿一件衣服。,วันนี้หนาว ใส่เสื้อเพิ่มอีกตัว,"It's cold today, wear one more layer."
23,1,出租车,chūzūchē,名,n.,คำนาม,taxi; rental car,แท็กซี่,我坐出租车去机场。,ฉันนั่งแท็กซี่ไปสนามบิน,I take a taxi to the airport.
24,1,大,dà,形,adj.,คำคุณศัพท์,big; large,ใหญ่,这个房间很大。,ห้องนี้ใหญ่มาก,This room is very big.
25,1,打电话,dǎ diànhuà,-,-,-,to make a telephone call,โทร,我给妈妈打电话。,ฉันโทรหาแม่,I call my mom.
26,1,大家,dàjiā,代,pron.,คำสรรพนาม,everyone; influential family,ทุกคน,大家好！,สวัสดีทุกคน!,Hello everyone!
27,1,到,dào,动,v.,กริยา,to; until,มาถึง,我到学校了。| 我学习到晚上。,ฉันถึงโรงเรียนแล้ว | ฉันเรียนจนถึงตอนเย็น,I arrived at school. | I study until the evening.
28,1,大学,dàxué,名,n.,คำนาม,university,มหาวิทยาลัย,她在北京大学学习。,เธอเรียนอยู่ที่มหาวิทยาลัยปักกิ่ง,She studies at Peking University.
29,1,大学生,dàxuéshēng,名,n.,คำนาม,university student; college student,นักศึกษาวิทยาลัย,他是一名大学生。,เขาเป็นนักศึกษามหาวิทยาลัย,He is a university student.
30,1,的,de,助,part.,อนุภาค (คำช่วยทางไวยากรณ์),particle of possession / description,(อนุภาคแสดงความเป็นเจ้าของ),这是我的书。,นี่คือหนังสือของฉัน,This is my book.
31,1,第,dì,前缀,pref.,คำนำหน้า,order,เลขที่,他是第一名。,เขาได้อันดับหนึ่ง,He is in first place.
32,1,店,diàn,名,n.,คำนาม,inn; shop,ร้านค้า,前面有一家书店。,ข้างหน้ามีร้านหนังสือ,There is a bookstore ahead.
33,1(3),点1,diǎn,量、（名）,meas./n.,ลักษณนาม / (คำนาม),measure word; point; dot,จุด / (ลักษณนาม),请给我一点水。| 现在是三点。,ขอน้ำนิดหน่อย | ตอนนี้สามโมง,Please give me a little water. | It is three o'clock now.
34,1,电话,diànhuà,名,n.,คำนาม,telephone,โทรศัพท์,你的电话号码是多少？,หมายเลขโทรศัพท์ของคุณคืออะไร?,What is your phone number?
35,1,电脑,diànnǎo,名,n.,คำนาม,computer,คอมพิวเตอร์,我用电脑工作。,ฉันใช้คอมพิวเตอร์ทำงาน,I use a computer to work.
36,1,电视,diànshì,名,n.,คำนาม,television; TV,โทรทัศน์,晚上我看电视。,ตอนเย็นฉันดูโทรทัศน์,I watch TV in the evening.
37,1,电影,diànyǐng,名,n.,คำนาม,movie; film,ภาพยนตร์,我们去看电影吧。,เราไปดูหนังกันเถอะ,Let's go watch a movie.
38,1,电影院,diànyǐngyuàn,名,n.,คำนาม,cinema; movie theater,โรงหนัง,电影院在哪里？,โรงหนังอยู่ที่ไหน?,Where is the cinema?
39,1,弟弟,dìdi,名,n.,คำนาม,younger brother,น้องชาย,我弟弟今年十岁。,น้องชายของฉันอายุสิบขวบปีนี้,My younger brother is ten years old this year.
40,1,东西,dōngxi,名,n.,คำนาม,thing; stuff,สิ่งของ / ของ,你买了什么东西？,คุณซื้ออะไรมา?,What did you buy?
41,1,都,dōu,副,adv.,คำวิเศษณ์,all; both,ทั้งหมด / ล้วน,我们都喜欢吃中国菜。,พวกเราทุกคนชอบกินอาหารจีน,We all like eating Chinese food.
42,1,读,dú,动,v.,กริยา,to read; to study,อ่าน,他每天读书。,เขาอ่านหนังสือทุกวัน,He reads books every day.
43,1(4),对,duì,形、介、（动、量）,v. / adj. / meas. / prep.,คำคุณศัพท์ / คำบุพบท / 量） / (กริยา),right; correct,ถูกต้อง,你说得对。| 他对我很好。,คุณพูดถูก | เขาดีกับฉันมาก,You are right. | He is very kind to me.
44,1,对不起,duìbuqǐ,动,v.,กริยา,unworthy; to let down,ขอโทษ,对不起，我来晚了。,ขอโทษ ฉันมาสาย,"I'm sorry, I came late."
45,1(2),多,duō,形、代、（动、数、副）,v. / adj. / num. / pron. / adv.,คำคุณศัพท์ / คำสรรพนาม / ตัวเลข / คำวิเศษณ์ / (กริยา),many; much,มาก / มากมาย,这里有很多人。| 你多大了？,ที่นี่มีคนเยอะมาก | คุณอายุเท่าไหร่?,There are many people here. | How old are you?
46,1,多少,duōshao,代,pron.,คำสรรพนาม,how many; how much,เท่าไร / กี่,这个多少钱？,อันนี้ราคาเท่าไร?,How much does this cost?
47,1,读书,dúshū,动,v.,กริยา,to read a book; to study,อ่าน,我喜欢读书。,ฉันชอบอ่านหนังสือ,I like reading books.
48,1,二,èr,数,num.,ตัวเลข,two; 2,สอง,我有两个姐姐。,ฉันมีพี่สาวสองคน,I have two older sisters.
49,1,儿子,érzi,名,n.,คำนาม,son,ลูกชาย,他有一个儿子。,เขามีลูกชายหนึ่งคน,He has one son.
50,1,饭,fàn,名,n.,คำนาม,cooked rice; meal,ข้าว / อาหาร,我们去吃饭吧。,เราไปกินข้าวกันเถอะ,Let's go eat.
51,1,饭店,fàndiàn,名,n.,คำนาม,restaurant; hotel,ร้านอาหาร,这家饭店的菜很好吃。| 我住在这家饭店。,อาหารของร้านนี้อร่อยมาก | ฉันพักอยู่ที่โรงแรมนี้,The food at this restaurant is delicious. | I am staying at this hotel.
52,1,房间,fángjiān,名,n.,คำนาม,room,ห้อง,我的房间很干净。,ห้องของฉันสะอาดมาก,My room is very clean.
53,1,非常,fēicháng,副,adv.,คำวิเศษณ์,very; extremely,มากๆ / อย่างยิ่ง,今天非常热。,วันนี้ร้อนมากๆ,It is extremely hot today.
54,1,飞机,fēijī,名,n.,คำนาม,airplane,เครื่องบิน,我坐飞机去北京。,ฉันนั่งเครื่องบินไปปักกิ่ง,I take a plane to Beijing.
55,1(3),分,fēn,量、（动、名）,n. / v. / meas.,ลักษณนาม / 名） / (กริยา),to divide; to separate,(ลักษณนามสำหรับนาที/คะแนน) / แบ่ง,上课还有五分钟。| 请把苹果分给大家。,อีกห้านาทีจะเข้าเรียน | กรุณาแบ่งแอปเปิลให้ทุกคน,There are five minutes until class. | Please divide the apple for everyone.
56,1,分钟,fēnzhōng,量,meas.,ลักษณนาม,minute,นาที,我走路要十分钟。,ฉันเดินสิบนาที,It takes me ten minutes to walk.
57,1,高兴,gāoxìng,形,adj.,คำคุณศัพท์,happy; glad,มีความสุข,见到你我很高兴。,ฉันดีใจมากที่ได้พบคุณ,I am very happy to meet you.
58,1,个,gè,量,meas.,ลักษณนาม,measure word (general),(ลักษณนามทั่วไป),我买了三个苹果。,ฉันซื้อแอปเปิลสามลูก,I bought three apples.
59,1,歌,gē,名,n.,คำนาม,song,เพลง,这首歌很好听。,เพลงนี้ไพเราะมาก,This song sounds very nice.
60,1,哥哥,gēge,名,n.,คำนาม,older brother,พี่ชาย,我哥哥在上海工作。,พี่ชายของฉันทำงานอยู่ที่เซี่ยงไฮ้,My older brother works in Shanghai.
61,1(2),给,gěi,动、（介）,v. / prep.,กริยา / (คำบุพบท),to; for,ให้,妈妈给我买了礼物。| 请把书给我。,แม่ซื้อของขวัญให้ฉัน | กรุณาส่งหนังสือให้ฉัน,Mom bought me a gift. | Please give me the book.
62,1,公司,gōngsī,名,n.,คำนาม,company; company,บริษัท,他在一家大公司工作。,เขาทำงานในบริษัทใหญ่,He works at a large company.
63,1,工作,gōngzuò,动、名,n. / v.,กริยา / คำนาม,to work; to operate,งาน,我的工作很有意思。| 她每天工作八小时。,งานของฉันน่าสนใจมาก | เธอทำงานวันละแปดชั่วโมง,My work is very interesting. | She works eight hours a day.
64,1,狗,gǒu,名,n.,คำนาม,dog,สุนัข,我家有一只狗。,บ้านฉันมีสุนัขหนึ่งตัว,My family has one dog.
65,1,贵,guì,形,adj.,คำคุณศัพท์,expensive; noble,แพง,这件衣服太贵了。,เสื้อตัวนี้แพงเกินไป,This piece of clothing is too expensive.
66,1,国,guó,名,n.,คำนาม,country; nation,ประเทศ,中国是一个大国。,จีนเป็นประเทศใหญ่,China is a large country.
67,1,还,hái,副,adv.,คำวิเศษณ์,still; also,ยังคง / ยังมี,他还在睡觉。| 这里还有一个位子。,เขายังนอนอยู่ | ที่นี่ยังมีที่นั่งอีกหนึ่งที่,He is still sleeping. | There is still one seat here.
68,1,孩子,háizi,名,n.,คำนาม,child,เด็ก,这个孩子很聪明。,เด็กคนนี้ฉลาดมาก,This child is very smart.
69,1,汉语,Hànyǔ,名,n.,คำนาม,Chinese language; Mandarin,ภาษาจีน,我在学汉语。,ฉันกำลังเรียนภาษาจีน,I am learning Chinese.
70,1,汉字,Hànzì,名,n.,คำนาม,Chinese character; Chinese writing,ตัวอักขระจีน,汉字很难写。,ตัวอักษรจีนเขียนยาก,Chinese characters are difficult to write.
71,1,号,hào,名、量,n. / meas.,คำนาม / ลักษณนาม,number; date; size,หมายเลข / วันที่,今天是几号？| 我穿三十八号的鞋。,วันนี้วันที่เท่าไหร่? | ฉันใส่รองเท้าเบอร์สามสิบแปด,What date is today? | I wear size 38 shoes.
72,1(2)(4),好,hǎo,形、（副）、（动）,adj./adv./v.,คำคุณศัพท์ / (คำวิเศษณ์ / กริยา),good; well; easy to,ดี / ง่าย,这本书很好。| 你好好休息吧。| 好，我知道了。,หนังสือเล่มนี้ดีมาก | คุณพักผ่อนให้ดีนะ | โอเค ฉันเข้าใจแล้ว,"This book is very good. | Please rest well. | OK, I understand."
73,1,好吃,hǎochī,形,adj.,คำคุณศัพท์,tasty; delicious,อร่อย,这个蛋糕很好吃。,เค้กนี้อร่อยมาก,This cake is very delicious.
74,1,好看,hǎokàn,形,adj.,คำคุณศัพท์,good-looking; nice-looking,สวย / ดูดี,这部电影很好看。,หนังเรื่องนี้ดูดีมาก,This movie is very good-looking.
75,1,好听,hǎotīng,形,adj.,คำคุณศัพท์,pleasant to hear,ฟังดูดีนะ,这首歌很好听。,เพลงนี้ไพเราะมาก,This song sounds very pleasant.
76,1,好玩儿,hǎowánr,形,adj.,คำคุณศัพท์,erhua variant of 好玩,สนุก,这个游戏很好玩儿。,เกมนี้สนุกมาก,This game is very fun.
77,1,和1,hé,介、连,prep./conj.,คำบุพบท / คำสันธาน,and; with,และ / กับ,我和你一起去。,ฉันไปกับคุณด้วยกัน,I will go together with you.
78,1,喝,hē,动,v.,กริยา,to drink,ดื่ม,我喜欢喝茶。,ฉันชอบดื่มชา,I like drinking tea.
79,1,很,hěn,副,adv.,คำวิเศษณ์,very; quite,มาก / ค่อนข้าง,今天很冷。,วันนี้หนาวมาก,It is very cold today.
80,1,后,hòu,名,n.,คำนาม,behind; after; back,ข้างหลัง / หลังจาก,学校在银行后面。,โรงเรียนอยู่ข้างหลังธนาคาร,The school is behind the bank.
81,1(3),回,huí,动、（量）,v. / meas.,กริยา / (ลักษณนาม),to circle; to go back,กลับ,我每天六点回家。| 他去了三回。,ฉันกลับบ้านหกโมงทุกวัน | เขาไปสามครั้ง,I go home at six every day. | He went three times.
82,1,会1,huì,动,modal v.,กริยาช่วย (modal verb),can; to know how to,สามารถ / รู้วิธี,我会说中文。,ฉันพูดภาษาจีนได้,I can speak Chinese.
83,1,火车,huǒchē,名,n.,คำนาม,train,รถไฟ,我坐火车去上海。,ฉันนั่งรถไฟไปเซี่ยงไฮ้,I take the train to Shanghai.
84,1,几,jǐ,代、数,num. / pron.,คำสรรพนาม / ตัวเลข,how many; several; a few,กี่ / หลาย,你有几个朋友？,คุณมีเพื่อนกี่คน?,How many friends do you have?
85,1(3),家,jiā,名、量、（后缀）,n./meas.,คำนาม / ลักษณนาม / (คำต่อท้าย),home; family; (measure word),บ้าน / ครอบครัว,我家有四口人。| 这家餐厅很好。,บ้านฉันมีสี่คน | ร้านอาหารนี้ดีมาก,My family has four people. | This restaurant is very good.
86,1,见,jiàn,动,v.,กริยา,to see; to meet,เห็น / เจอ,我想见你。,ฉันอยากพบคุณ,I want to meet you.
87,1,件,jiàn,量,meas.,ลักษณนาม,item; component,รายการ,我买了两件衣服。,ฉันซื้อเสื้อผ้าสองชิ้น,I bought two pieces of clothing.
88,1(4),叫,jiào,动、（介）,v. / prep.,กริยา / (คำบุพบท),to shout; to call,เรียก,我叫李明。| 妈妈叫我回家。,ฉันชื่อหลี่หมิง | แม่เรียกให้ฉันกลับบ้าน,My name is Li Ming. | Mom called me to come home.
89,1,饺子,jiǎozi,名,n.,คำนาม,dumpling; pot-sticker,เกี๊ยว,我喜欢吃饺子。,ฉันชอบกินเกี๊ยว,I like eating dumplings.
90,1,家人,jiārén,名,n.,คำนาม,household; family,ตระกูล,我很爱我的家人。,ฉันรักครอบครัวของฉันมาก,I love my family very much.
91,1,鸡蛋,jīdàn,名,n.,คำนาม,egg; hen's egg,ไข่,早饭我吃了两个鸡蛋。,เช้านี้ฉันกินไข่สองฟอง,I ate two eggs for breakfast.
92,1,姐姐,jiějie,名,n.,คำนาม,older sister,พี่สาว,我姐姐比我大三岁。,พี่สาวของฉันอายุมากกว่าฉันสามปี,My older sister is three years older than me.
93,1,今年,jīnnián,名,n.,คำนาม,this year,ปีนี้,今年我二十岁。,ปีนี้ฉันอายุยี่สิบปี,I am twenty years old this year.
94,1,今天,jīntiān,名,n.,คำนาม,today; at the present,วันนี้,今天天气很好。,วันนี้อากาศดีมาก,The weather is very nice today.
95,1,九,jiǔ,数,num.,ตัวเลข,nine; 9,เก้า,我有九本书。,ฉันมีหนังสือเก้าเล่ม,I have nine books.
96,1,觉得,juéde,动,v.,กริยา,to think; to feel,รู้สึก,我觉得这里很好。,ฉันรู้สึกว่าที่นี่ดีมาก,I feel that this place is very good.
97,1,开,kāi,动,v.,กริยา,to open; to start,เปิด,请开门。| 他开车去上班。,กรุณาเปิดประตู | เขาขับรถไปทำงาน,Please open the door. | He drives to work.
98,1,开车,kāichē,动,v.,กริยา,to drive a car,ขับ,他每天开车上班。,เขาขับรถไปทำงานทุกวัน,He drives to work every day.
99,1,看,kàn,动,v.,กริยา,to look; to watch,ดู / มอง,我在看书。| 我去看医生。,ฉันกำลังอ่านหนังสือ | ฉันไปพบแพทย์,I am reading a book. | I am going to see a doctor.
100,1,看病,kànbìng,动,v.,กริยา,to visit a doctor; to see a patient,ไปพบแพทย์,我去医院看病。,ฉันไปโรงพยาบาลพบแพทย์,I go to the hospital to see a doctor.
101,1,看见,kànjiàn,动,v.,กริยา,to see; to catch sight of,เห็น / สังเกตเห็น,我看见一只猫。,ฉันเห็นแมวตัวหนึ่ง,I saw a cat.
102,1,课,kè,名,n.,คำนาม,subject; course,บทเรียน / วิชา,今天有三节课。,วันนี้มีสามบทเรียน,There are three classes today.
103,1,可以,kěyǐ,动、形,modal v.,กริยา / คำคุณศัพท์,can; may,ได้ / สามารถ,我可以进来吗？,ฉันเข้ามาได้ไหม?,May I come in?
104,1,口,kǒu,名、量,n. / meas.,คำนาม / ลักษณนาม,mouth; classifier for things with mouths,ปาก,他的口很大。| 这个村子有一百口人。,ปากของเขาใหญ่ | หมู่บ้านนี้มีหนึ่งร้อยคน,His mouth is big. | This village has one hundred people.
105,1,块,kuài,量,meas.,ลักษณนาม,lump; chunk,ชิ้นส่วน,请给我一块蛋糕。| 这个苹果五块钱。,กรุณาให้เค้กฉันหนึ่งชิ้น | แอปเปิลนี้ราคาห้าหยวน,Please give me a piece of cake. | This apple costs five yuan.
106,1,来,lái,动,v.,กริยา,to come; to arrive,มา,请进来。| 他来自北京。,กรุณาเข้ามา | เขามาจากปักกิ่ง,Please come in. | He comes from Beijing.
107,1,老师,lǎoshī,名,n.,คำนาม,teacher,ครู,我的老师很好。,ครูของฉันดีมาก,My teacher is very good.
108,1,了,le,助,part.,อนุภาค (คำช่วยทางไวยากรณ์),particle (completed action),(อนุภาคแสดงการสำเร็จ),我吃了饭。,ฉันกินข้าวแล้ว,I have eaten.
109,1,冷,lěng,形,adj.,คำคุณศัพท์,cold,เย็น,冬天很冷。,ฤดูหนาวหนาวมาก,Winter is very cold.
110,1,里,lǐ,名,n.,คำนาม,lining; interior,ข้างใน,书在包里。,หนังสืออยู่ในกระเป๋า,The book is inside the bag.
111,1,两1,liǎng,数,num.,ตัวเลข,two,สอง,我有两个弟弟。,ฉันมีน้องชายสองคน,I have two younger brothers.
112,1,零,líng,数,num.,ตัวเลข,zero; nought,ศูนย์,今天气温是零度。,วันนี้อุณหภูมิศูนย์องศา,Today's temperature is zero degrees.
113,1,六,liù,数,num.,ตัวเลข,six; 6,หก,我家有六口人。,บ้านฉันมีหกคน,My family has six people.
114,1,吗,ma,助,part.,อนุภาค (คำช่วยทางไวยากรณ์),question particle,(อนุภาคคำถาม),你是学生吗？,คุณเป็นนักเรียนไหม?,Are you a student?
115,1,卖,mài,动,v.,กริยา,to sell; to betray,ขาย,这家店卖水果。,ร้านนี้ขายผลไม้,This shop sells fruit.
116,1,买,mǎi,动,v.,กริยา,to buy; to purchase,ซื้อ,我去超市买东西。,ฉันไปซูเปอร์มาร์เก็ตซื้อของ,I go to the supermarket to buy things.
117,1,妈妈,māma,名,n.,คำนาม,mama; mommy,แม่,我妈妈做饭很好吃。,แม่ของฉันทำอาหารอร่อยมาก,My mom cooks very delicious food.
118,1,忙,máng,形、动,v. / adj.,คำคุณศัพท์ / กริยา,busy; hurriedly,ยุ่ง,他最近很忙。,เขาช่วงนี้ยุ่งมาก,He has been very busy lately.
119,1,猫,māo,名,n.,คำนาม,cat,แมว,我家有一只猫。,บ้านฉันมีแมวหนึ่งตัว,My family has one cat.
120,1,没关系,méi guānxi,-,-,-,it doesn't matter,ไม่สำคัญ,对不起！没关系。,ขอโทษ! ไม่เป็นไร,I'm sorry! It doesn't matter.
121,1,妹妹,mèimei,名,n.,คำนาม,younger sister; young woman,น้องสาว,我妹妹很可爱。,น้องสาวของฉันน่ารักมาก,My younger sister is very cute.
122,1,没事,méishì,动,v.,กริยา,it's not important; it's nothing,ไม่เป็นไร,你怎么了？没事。,คุณเป็นอะไรไหม? ไม่เป็นไร,Are you okay? It's nothing.
123,1,没（有）,méi(yǒu),动、副,v.,กริยา / คำวิเศษณ์,don't have; there is no,ไม่มี,我没有钱。| 他没来。,ฉันไม่มีเงิน | เขาไม่ได้มา,I don't have money. | He didn't come.
124,1,们,men,后缀,suff.,คำต่อท้าย,plural marker (for pronouns/people),(อนุภาคพหูพจน์),同学们，上课了。,เพื่อนๆ เข้าเรียนได้แล้ว,"Students, class has started."
125,1,面包,miànbāo,名,n.,คำนาม,bread,ขนมปัง,我早上吃面包。,เช้านี้ฉันกินขนมปัง,I eat bread in the morning.
126,1,面条儿,miàntiáor,名,n.,คำนาม,erhua variant of 麵條|面条,บะหมี่,我喜欢吃面条儿。,ฉันชอบกินบะหมี่,I like eating noodles.
127,1,米饭,mǐfàn,名,n.,คำนาม,rice,ข้าว,我每天吃米饭。,ฉันกินข้าวทุกวัน,I eat rice every day.
128,1,明年,míngnián,名,n.,คำนาม,next year,ปีหน้า,明年我去中国。,ปีหน้าฉันจะไปจีน,I will go to China next year.
129,1,明天,míngtiān,名,n.,คำนาม,tomorrow,พรุ่งนี้,明天见！,พบกันพรุ่งนี้!,See you tomorrow!
130,1,名字,míngzi,名,n.,คำนาม,name,ชื่อ,你叫什么名字？,คุณชื่ออะไร?,What is your name?
131,1(2),那,nà,代、（连）,pron. / conj.,คำสรรพนาม / (คำสันธาน),that; those,ที่,那是我的书。| 那，我们走吧。,นั่นคือหนังสือของฉัน | งั้น เราไปกันเถอะ,"That is my book. | Then, let's go."
132,1,哪,nǎ,代,pron.,คำสรรพนาม,how; which,ที่ไหน,你去哪里？,คุณจะไปที่ไหน?,Where are you going?
133,1,那边,nàbiān,代,pron.,คำสรรพนาม,over there; yonder,ที่นั่น,图书馆在那边。,ห้องสมุดอยู่ที่นั่น,The library is over there.
134,1,那个,nàge,代,pron.,คำสรรพนาม,that one; that thing,ที่,那个人是谁？,คนนั้นคือใคร?,Who is that person?
135,1,哪个,nǎge,代,pron.,คำสรรพนาม,which one,อันไหน,哪个是你的？,อันไหนเป็นของคุณ?,Which one is yours?
136,1,那里,nàlǐ,代,pron.,คำสรรพนาม,there; that place,ที่นั่น,我去过那里。,ฉันเคยไปที่นั่น,I have been there.
137,1,哪里,nǎlǐ,代,pron.,คำสรรพนาม,where?; somewhere,ที่ไหน,你住在哪里？,คุณอาศัยอยู่ที่ไหน?,Where do you live?
138,1,男,nán,形,adj.,คำคุณศัพท์,"male; Baron, lowest of five orders of nobility 五等爵位",ชาย,这是男厕所。,นี่คือห้องน้ำชาย,This is the men's restroom.
139,1,男朋友,nánpéngyou,名,n.,คำนาม,boyfriend,แฟนหนุ่ม,她有男朋友了。,เธอมีแฟนหนุ่มแล้ว,She has a boyfriend now.
140,1,那儿,nàr,代,pron.,คำสรรพนาม,there,ที่นั่น,我在那儿等你。,ฉันรอคุณอยู่ที่นั่น,I will wait for you there.
141,1,哪儿,nǎr,代,pron.,คำสรรพนาม,where?; wherever,ที่ไหน,你去哪儿？,คุณจะไปที่ไหน?,Where are you going?
142,1,那些,nàxiē,代,pron.,คำสรรพนาม,those,พวกนั้น,那些书是我的。,หนังสือพวกนั้นเป็นของฉัน,Those books are mine.
143,1,哪些,nǎxiē,代,pron.,คำสรรพนาม,which ones?; who?,ที่,哪些是你的？,อันไหนบ้างเป็นของคุณ?,Which ones are yours?
144,1,呢,ne,助,part.,อนุภาค (คำช่วยทางไวยากรณ์),modal particle (continuation/question),(อนุภาคคำถามย้อนกลับ),你呢？| 他在哪儿呢？,แล้วคุณล่ะ? | เขาอยู่ที่ไหนนะ?,What about you? | Where is he?
145,1,能,néng,动,modal v.,กริยาช่วย (modal verb),can; to be able to,สามารถ / ทำได้,你能帮我吗？,คุณช่วยฉันได้ไหม?,Can you help me?
146,1,你,nǐ,代,pron.,คำสรรพนาม,you,คุณ,你好！,สวัสดี!,Hello!
147,1,你好,nǐ hǎo,-,-,-,hello; hi,สวัสดี,你好，很高兴认识你。,สวัสดี ยินดีที่ได้รู้จัก,"Hello, nice to meet you."
148,1,年,nián,名、量,n. / meas.,คำนาม / ลักษณนาม,year,ปี,我学了三年中文。| 这本书出版于二零二零年。,ฉันเรียนภาษาจีนสามปี | หนังสือเล่มนี้ตีพิมพ์ในปี 2020,I have studied Chinese for three years. | This book was published in 2020.
149,1,你们,nǐmen,代,pron.,คำสรรพนาม,you,คุณ,你们都来了吗？,พวกคุณมากันครบไหม?,Have you all come?
150,1,您,nín,代,pron.,คำสรรพนาม,you,คุณ,您好，请坐。,สวัสดีครับ/ค่ะ กรุณานั่งก่อน,"Hello, please have a seat."
151,1,牛奶,niúnǎi,名,n.,คำนาม,cow's milk,น้ำนม,我每天喝一杯牛奶。,ฉันดื่มนมหนึ่งแก้วทุกวัน,I drink one glass of milk every day.
152,1,女,nǚ,形,adj.,คำคุณศัพท์,female; woman,หญิง,这是女厕所。,นี่คือห้องน้ำหญิง,This is the women's restroom.
153,1,女儿,nǚ'ér,名,n.,คำนาม,daughter,ลูกสาว,她有一个女儿。,เธอมีลูกสาวหนึ่งคน,She has one daughter.
154,1,女朋友,nǚpéngyou,名,n.,คำนาม,girlfriend,แฟน,他有女朋友了。,เขามีแฟนแล้ว,He has a girlfriend now.
155,1,女士,nǚshì,名,n.,คำนาม,lady; madam,นางสาว,这位女士是我的老师。,ผู้หญิงท่านนี้คือครูของฉัน,This lady is my teacher.
156,1,朋友,péngyou,名,n.,คำนาม,friend,เพื่อน,他是我最好的朋友。,เขาคือเพื่อนที่ดีที่สุดของฉัน,He is my best friend.
157,1,便宜,piányi,形,adj.,คำคุณศัพท์,cheap; inexpensive,ราคาถูก,这里的东西很便宜。,ของที่นี่ราคาถูกมาก,Things here are very cheap.
158,1,漂亮,piàoliang,形,adj.,คำคุณศัพท์,pretty; beautiful,สวย,她很漂亮。,เธอสวยมาก,She is very beautiful.
